,Gene.title,P.Value
4582,extracellular leucine rich repeat and fibronectin type III domain containing 2,0.789
4583,lysine demethylase 4B,0.303
4584,BAH domain and coiled-coil containing 1,0.204
4585,ABI family member 3 binding protein,0.2
4586,,0.000464
4587,long intergenic non-protein coding RNA 567,0.111
4588,uncharacterized LOC284600,0.326
4589,,0.174
4590,"FYVE, RhoGEF and PH domain containing 2",0.00101
4591,solute carrier family 9 member A5,0.984
4592,long intergenic non-protein coding RNA 1530,0.663
4593,F-box protein 9,0.0021
4594,F-box protein 9,0.00586
4595,long intergenic non-protein coding RNA 1550,0.12
4596,"FYN proto-oncogene, Src family tyrosine kinase",0.914
4597,uncharacterized LOC105377371,0.771
4598,uncharacterized LOC105377371,0.509
4599,"leucine, glutamate and lysine rich 1",0.186
4600,"VPS53, GARP complex subunit",0.147
4601,"VPS53, GARP complex subunit",0.302
4602,,0.918
4603,,0.462
4604,atypical chemokine receptor 3,0.0353
4605,,0.00534
4606,,0.00368
4607,,0.634
4608,,0.000424
4609,uncharacterized LOC644135,0.176
4610,,0.107
4611,ribosomal RNA processing 12 homolog,0.731
4612,ribosomal RNA processing 12 homolog,0.908
4613,hydroxysteroid dehydrogenase like 2,0.559
4614,MIRLET7D host gene,1.01e-05
4615,uncharacterized LOC101928047,0.209
4616,transmembrane protein 80,0.982
4617,zinc finger protein 546,0.578
4618,zinc finger protein 546,0.798
4619,long intergenic non-protein coding RNA 894///long intergenic non-protein coding RNA 893,0.111
4620,spermatogenesis associated 19,0.0282
4621,NOC2 like nucleolar associated transcriptional repressor,0.962
4622,family with sequence similarity 87 member B///family with sequence similarity 87 member A,0.581
4623,family with sequence similarity 87 member B///family with sequence similarity 87 member A,0.55
4624,lysine acetyltransferase 6A,0.077
4625,long intergenic non-protein coding RNA 910,0.823
4626,RNF144A antisense RNA 1,0.372
4627,,0.197
4628,uncharacterized LOC101060609,0.0788
4629,,0.0185
4630,,0.282
4631,,0.401
4632,,0.000349
4633,,1.77e-07
4634,centrosomal protein 68,0.0402
4635,,0.671
4636,INHBA antisense RNA 1,0.126
4637,,0.77
4638,MPV17 mitochondrial inner membrane protein like,0.582
4639,,0.399
4640,"ankyrin repeat domain 20 family member A5, pseudogene",0.665
4641,ADP-ribosylation factor pseudogene,0.0359
4642,,0.566
4643,"RAB6A, member RAS oncogene family",0.167
4644,uncharacterized LOC100131860,0.65
4645,"protein kinase, X-linked, pseudogene 1",0.416
4646,"protein kinase, X-linked, pseudogene 1",0.219
4647,retinol dehydrogenase 13,0.116
4648,C-type lectin domain family 4 member G pseudogene 1,0.121
4649,,0.99
4650,,0.0128
4651,"KRAS proto-oncogene, GTPase",0.207
4652,"KRAS proto-oncogene, GTPase",0.0467
4653,uncharacterized LOC100996286,0.48
4654,presenilin 1,0.876
4655,ST7 overlapping transcript 4,0.14
4656,,0.635
4657,long intergenic non-protein coding RNA 1419,0.605
4658,F-box protein 22,0.0387
4659,nuclear transcription factor Y subunit gamma,0.261
4660,uncharacterized LOC101929054,0.187
4661,long intergenic non-protein coding RNA 1013,0.515
4662,spindle apparatus coiled-coil protein 1,0.472
4663,late cornified envelope 1E,0.419
4664,late cornified envelope 1E,0.219
4665,von Hippel-Lindau tumor suppressor,2.35e-05
4666,clusterin,0.977
4667,,0.113
4668,,0.0273
4669,SRY-box 30,0.345
4670,HHIP like 1,0.734
4671,acetyl-CoA acetyltransferase 1,0.243
4672,uncharacterized LOC100507053,0.685
4673,formin 2,0.225
4674,,0.2
4675,ataxin 1,0.308
4676,uncharacterized LOC101929125,0.464
4677,P38 inhibited cutaneous squamous cell carcinoma associated lincRNA,0.211
4678,,0.126
4679,"membrane associated guanylate kinase, WW and PDZ domain containing 1",0.6
4680,"membrane associated guanylate kinase, WW and PDZ domain containing 1",0.77
4681,cancer/testis antigen 83,0.0836
4682,,0.563
4683,polycystin 1 like 2 (gene/pseudogene),0.455
4684,zinc finger CCCH-type containing 12D,0.101
4685,LACTB2 antisense RNA 1,0.531
4686,SKI/DACH domain containing 1,0.827
4687,SKI/DACH domain containing 1,0.589
4688,ADAM metallopeptidase domain 23,0.775
4689,zinc finger homeobox 4,0.585
4690,exocyst complex component 3 like 1,0.772
4691,zinc finger protein 732,0.547
4692,zinc finger protein 732,0.244
4693,prostate cancer associated transcript 18 (non-protein coding),0.156
4694,uncharacterized protein FLJ35700,0.694
4695,,0.205
4696,apelin receptor early endogenous ligand,0.953
4697,,0.64
4698,canopy FGF signaling regulator 1,0.279
4699,uncharacterized LOC101929774,0.342
4700,,0.294
4701,,0.0302
4702,,0.814
4703,transcriptional adaptor 1,0.104
4704,long intergenic non-protein coding RNA 32,0.00811
4705,long intergenic non-protein coding RNA 32,0.386
4706,long intergenic non-protein coding RNA 32,0.0269
4707,,0.476
4708,ADAMTS9 antisense RNA 2,0.179
4709,sorting nexin 29 pseudogene 2,0.00415
4710,spermatogenesis associated 41 (non-protein coding),0.991
4711,family with sequence similarity 234 member B,0.971
4712,long intergenic non-protein coding RNA 1532,0.151
4713,,0.396
4714,RB transcriptional corepressor like 1,0.716
4715,multiple coagulation factor deficiency 2,0.802
4716,,0.135
4717,EHMT1 intronic transcript 1,0.414
4718,ankyrin repeat domain 18A,0.641
4719,SOCS2 antisense RNA 1,0.0173
4720,uncharacterized LOC105374676,0.685
4721,uncharacterized LOC101928858,0.0984
4722,uncharacterized LOC727916,0.385
4723,ubiquitin specific peptidase 32 pseudogene 2,0.0324
4724,DIO3 opposite strand/antisense RNA (head to head),0.622
4725,,0.000192
4726,,0.342
4727,uncharacterized LOC101927416,0.93
4728,uncharacterized LOC101928505,0.377
4729,,0.759
4730,,0.256
4731,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)",0.526
4732,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)",0.00311
4733,uncharacterized LOC101929064,0.191
4734,,5.17e-09
4735,,0.206
4736,,0.0265
4737,,0.79
4738,MAFG antisense RNA 1 (head to head),0.221
4739,,0.0276
4740,,0.994
4741,neurexophilin 2,0.219
4742,,0.395
4743,uncharacterized LOC101927668///metastasis associated in colon cancer 1,0.185
4744,,2.77e-05
4745,long intergenic non-protein coding RNA 1146,0.361
4746,trafficking protein particle complex 13,0.811
4747,"uncharacterized LOC101926921///DAB2, clathrin adaptor protein",0.606
4748,uncharacterized LOC101928043,0.684
4749,,0.388
4750,,0.358
4751,ATP1A1 antisense RNA 1,0.869
4752,,0.309
4753,small integral membrane protein 7,0.0119
4754,,0.953
4755,Ly6/neurotoxin 1,0.0219
4756,spermatogenesis associated 45,0.952
4757,,0.765
4758,synaptotagmin 7,0.363
4759,aldehyde dehydrogenase 1 family member L2,0.927
4760,,0.913
4761,proline rich 14,0.0684
4762,zinc finger CCHC-type containing 10,0.0526
4763,pappalysin 1,0.027
4764,,0.0332
4765,chromosome 1 open reading frame 61,0.848
4766,HMGN3 antisense RNA 1,0.653
4767,HMGN3 antisense RNA 1,0.431
4768,transient receptor potential cation channel subfamily V member 6,0.0163
4769,ankyrin repeat domain 18A,0.34
4770,coiled-coil and C2 domain containing 2A,0.0996
4771,,0.192
4772,mir-99a-let-7c cluster host gene,0.399
4773,t-complex 11 like 2,0.0166
4774,calcium voltage-gated channel auxiliary subunit beta 2,0.0524
4775,calcium voltage-gated channel auxiliary subunit beta 2,0.79
4776,"sushi, nidogen and EGF like domains 1",0.681
4777,,0.345
4778,SMAD specific E3 ubiquitin protein ligase 1,0.0187
4779,MCF.2 cell line derived transforming sequence like,0.0941
4780,single-pass membrane protein with coiled-coil domains 1,0.557
4781,atypical chemokine receptor 2,0.143
4782,APCDD1L antisense RNA 1 (head to head),0.645
4783,,0.7
4784,,0.704
4785,,0.0642
4786,chromosome 21 open reading frame 58,0.0137
4787,chromosome 21 open reading frame 58,0.0126
4788,uncharacterized LOC651430,0.181
4789,IL21R antisense RNA 1,0.511
4790,,0.801
4791,zinc finger protein 254,0.0243
4792,,0.437
4793,,0.0035
4794,,0.0237
4795,lymphotoxin beta receptor,0.502
4796,uncharacterized LOC613266,0.508
4797,,0.958
4798,,0.166
4799,,0.0173
4800,signal induced proliferation associated 1 like 2,0.667
4801,D21S2088E,0.354
4802,D21S2088E,0.177
4803,CAVP-target protein-like///SPEG complex locus,0.232
4804,Meis homeobox 1,0.48
4805,,0.868
4806,SEPSECS antisense RNA 1 (head to head),0.0236
4807,cysteine rich hydrophobic domain 1,0.00966
4808,PROX1 antisense RNA 1,0.269
4809,autophagy related 2B,0.819
4810,long intergenic non-protein coding RNA 1366,0.775
4811,long intergenic non-protein coding RNA 1366,0.536
4812,leucine rich repeats and calponin homology domain containing 3,0.249
4813,,0.0944
4814,uncharacterized LOC100506844,0.978
4815,solute carrier family 35 member G2,0.117
4816,,0.264
4817,pyrophosphatase (inorganic) 2,0.000723
4818,long intergenic non-protein coding RNA 1583,0.4
4819,"VPS8, CORVET complex subunit",0.782
4820,CBR3 antisense RNA 1,0.297
4821,leucine rich repeat containing 25,5.36e-07
4822,zinc finger protein 91 pseudogene,0.379
4823,microRNA 2682///microRNA 137///MIR137 host gene,0.648
4824,microRNA 2682///microRNA 137///MIR137 host gene,0.732
4825,uncharacterized LOC100130357,0.0505
4826,,0.549
4827,,0.0158
4828,long intergenic non-protein coding RNA 630,0.0433
4829,Fanconi anemia complementation group C,0.572
4830,uncharacterized LOC100132077,0.319
4831,,0.1
4832,spire type actin nucleation factor 1,0.0432
4833,hydroxysteroid 17-beta dehydrogenase 12,0.622
4834,glycophorin A (MNS blood group),0.913
4835,,0.0452
4836,uncharacterized LOC100505918,0.286
4837,,0.289
4838,,0.00281
4839,uncharacterized LOC101930421,0.37
4840,uncharacterized LOC100129917,0.17
4841,protein tyrosine kinase 2,0.0123
4842,,0.333
4843,ariadne homolog 2 opposite strand,0.0322
4844,,0.174
4845,uncharacterized LOC100996419,0.088
4846,uncharacterized LOC100996419,0.000997
4847,ring finger protein 130,0.07
4848,uncharacterized LOC101929549,0.217
4849,uncharacterized LOC100506526,0.289
4850,uncharacterized LOC101929622,0.304
4851,long intergenic non-protein coding RNA 441,0.282
4852,long intergenic non-protein coding RNA 441,0.497
4853,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)",0.519
4854,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)",0.334
4855,activin A receptor type 2B,0.164
4856,,0.981
4857,,0.0482
4858,SPATA31 subfamily E member 1,0.943
4859,"F-box protein, helicase, 18",0.0245
4860,,0.363
4861,,0.283
4862,F-box protein 42,0.0126
4863,PR/SET domain 11,0.243
4864,zinc finger CCCH-type containing 14,0.901
4865,ATPase 13A4,0.137
4866,long intergenic non-protein coding RNA 1093,0.368
4867,aquaporin 12B///aquaporin 12A,0.19
4868,WD repeat domain 78,0.818
4869,ficolin 2,0.0326
4870,,0.301
4871,long intergenic non-protein coding RNA 927,0.788
4872,leucine rich repeat containing 39,0.0851
4873,ras homolog family member Q,0.00409
4874,CD276 molecule,0.515
4875,chromosome 16 open reading frame 54,0.0719
4876,DEAD-box helicase 60-like,0.223
4877,uncharacterized LOC728868,0.178
4878,symplekin,0.215
4879,,0.0122
4880,choline dehydrogenase,0.211
4881,choline dehydrogenase,0.352
4882,mediator complex subunit 26,0.112
4883,uncharacterized LOC728084,0.0765
4884,,0.179
4885,,0.304
4886,,0.847
4887,upstream transcription factor family member 3,0.398
4888,G protein-coupled receptor 12,0.419
4889,uncharacterized LOC285043,0.742
4890,guanylate binding protein family member 6,0.126
4891,guanylate binding protein family member 6,0.189
4892,transmembrane protein 75,0.825
4893,,0.82
4894,uncharacterized protein FLJ38773,0.345
4895,zinc finger protein 626,0.184
4896,uncharacterized LOC101927206,0.854
4897,uncharacterized LOC100129447,0.00248
4898,uncharacterized LOC101927768,0.16
4899,uncharacterized LOC101927237,0.845
4900,,0.316
4901,chromosome 11 open reading frame 54,0.0789
4902,serine/threonine kinase 32A,0.665
4903,chromosome 7 open reading frame 71,0.645
4904,uncharacterized LOC101927710,0.667
4905,,0.598
4906,,0.719
4907,cholinergic receptor muscarinic 3,0.81
4908,cholinergic receptor muscarinic 3,0.113
4909,cancer susceptibility candidate 4,0.234
4910,PIK3CD antisense RNA 1,0.00755
4911,ankyrin repeat and fibronectin type III domain containing 1,0.301
4912,uncharacterized LOC105378382,0.162
4913,uncharacterized LOC105378382,0.426
4914,long intergenic non-protein coding RNA 184,0.208
4915,long intergenic non-protein coding RNA 184,0.104
4916,long intergenic non-protein coding RNA 892,0.413
4917,JAZF1 antisense RNA 1,0.245
4918,casein kinase 1 alpha 1 pseudogene 1,0.47
4919,,0.979
4920,GRTP1 antisense RNA 1,0.854
4921,uncharacterized LOC101930262///GRTP1 antisense RNA 1,0.19
4922,MAMDC2 antisense RNA 1,0.861
4923,MAMDC2 antisense RNA 1,0.926
4924,katanin regulatory subunit B1 like 1,0.0386
4925,teneurin transmembrane protein 3,0.228
4926,,0.0339
4927,,0.275
4928,uncharacterized LOC100506999,0.163
4929,,0.31
4930,,0.383
4931,uncharacterized LOC100506489,0.434
4932,coiled-coil domain containing 171,0.875
4933,zinc finger protein 333,0.425
4934,,0.468
4935,,0.15
4936,uncharacterized LOC100652791,0.251
4937,,0.416
4938,tubulin tyrosine ligase,0.91
4939,uncharacterized LOC101930303///uncharacterized LOC101930301///tripartite motif containing 16-like,0.00446
4940,tripartite motif containing 16-like,0.00114
4941,,0.243
4942,uncharacterized LOC100506379,0.436
4943,uncharacterized LOC100506379,0.476
4944,transmembrane protein 221,0.0438
4945,GRB2 related adaptor protein like,0.804
4946,GRB2 related adaptor protein like,0.473
4947,,0.0873
4948,,0.0933
4949,,0.744
4950,,0.557
4951,,0.758
4952,,0.726
4953,N-deacetylase and N-sulfotransferase 2,0.0257
4954,,0.0937
4955,phosphorylase kinase regulatory subunit alpha 2,0.146
4956,Rho guanine nucleotide exchange factor 28,0.141
4957,,0.414
4958,zinc finger protein 138,0.555
4959,family with sequence similarity 120A,0.12
4960,long intergenic non-protein coding RNA 689,0.888
4961,,0.139
4962,retinal G protein coupled receptor,0.534
4963,uncharacterized LOC100507391,0.0193
4964,INO80 complex subunit C,0.347
4965,chromosome 9 open reading frame 3,0.879
4966,chromosome 9 open reading frame 3,0.424
4967,,0.218
4968,long intergenic non-protein coding RNA 1537,0.491
4969,zinc finger and BTB domain containing 40,0.0345
4970,MACRO domain containing 1,0.0697
4971,negative regulator of ubiquitin like proteins 1,0.963
4972,uncharacterized LOC100130207,0.615
4973,,0.155
4974,choline phosphotransferase 1,0.752
4975,,0.000303
4976,zinc finger protein 718///zinc finger protein 595,0.304
4977,spastic paraplegia 11 (autosomal recessive),0.000688
4978,ADAMTS like 3,0.0502
4979,uncharacterized LOC100130778,0.00912
4980,lymphotoxin beta,0.744
4981,C21orf62 antisense RNA 1,0.0901
4982,uncharacterized LOC399716,0.661
4983,kinesin family member C3,0.457
4984,uncharacterized LOC401220,0.854
4985,,0.968
4986,zinc finger CCCH-type containing 12C,0.0563
4987,NOTCH1 associated lncRNA in T-cell acute lymphoblastic leukemia 1,0.839
4988,ALDH1L1 antisense RNA 2,0.839
4989,,0.0733
4990,,0.494
4991,,0.0116
4992,MIR3945 host gene,0.21
4993,,0.95
4994,tubulin polymerization promoting protein family member 2,0.402
4995,uncharacterized LOC101927438,0.0144
4996,,0.331
4997,zinc finger protein 781,0.61
4998,uncharacterized LOC646241,0.137
4999,,0.172
5000,,0.485
5001,early B-cell factor 3,0.346
5002,,0.888
5003,uncharacterized LOC105375875,0.154
5004,,0.119
5005,,0.923
5006,,0.929
5007,,0.12
5008,FAM53B antisense RNA 1,0.0157
5009,uncharacterized LOC105370475,0.649
5010,,0.912
5011,uncharacterized LOC100288798,0.467
5012,,2.88e-05
5013,,0.408
5014,metadherin,0.865
5015,long intergenic non-protein coding RNA 960,0.547
5016,long intergenic non-protein coding RNA 960,0.567
5017,family with sequence similarity 170 member B,0.653
5018,Rho guanine nucleotide exchange factor 12,0.18
5019,long intergenic non-protein coding RNA 1410,0.212
5020,long intergenic non-protein coding RNA 1490,0.317
5021,T-box 18,0.595
5022,T-box 18,0.337
5023,,0.768
5024,,0.00602
5025,NOP2/Sun RNA methyltransferase family member 4,0.161
5026,zinc finger protein 605,0.895
5027,lysine methyltransferase 2A,0.000276
5028,prostate cancer associated transcript 7 (non-protein coding),0.419
5029,coatomer protein complex subunit alpha,0.705
5030,"AFG3 like matrix AAA peptidase subunit 1, pseudogene",0.155
5031,lipocalin 6,0.283
5032,,0.674
5033,,0.00672
5034,uncharacterized LOC100129129,3.54e-06
5035,uncharacterized LOC100129129,0.0783
5036,,0.584
5037,uncharacterized LOC100289094,0.275
5038,,0.27
5039,LZTS1 antisense RNA 1,0.722
5040,zinc finger protein 12,0.000262
5041,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,0.207
5042,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,1.45e-06
5043,CDKN2B antisense RNA 1,0.216
5044,,0.28
5045,abl interactor 1,0.00346
5046,high mobility group AT-hook 2,0.335
5047,G-patch domain containing 11,0.14
5048,,0.294
5049,mir-99a-let-7c cluster host gene,0.938
5050,megakaryoblastic leukemia (translocation) 1,0.0469
5051,translocase of inner mitochondrial membrane 17 homolog B (yeast),0.13
5052,,0.902
5053,,0.795
5054,,0.808
5055,,0.442
5056,,0.00651
5057,CBR3 antisense RNA 1,0.147
5058,CECR5 antisense RNA 1,0.563
5059,platelet and endothelial cell adhesion molecule 1,9.46e-05
5060,,0.262
5061,glutamate ionotropic receptor kainate type subunit 1,0.438
5062,uncharacterized LOC102723757,0.0222
5063,uncharacterized LOC102723757,0.383
5064,uncharacterized LOC728353,0.299
5065,uncharacterized LOC728353,0.206
5066,pappalysin 1,0.396
5067,long intergenic non-protein coding RNA 1186,0.48
5068,uncharacterized LOC101928211,0.423
5069,,0.00343
5070,,0.729
5071,uncharacterized LOC105369167,0.616
5072,uncharacterized LOC105369167,0.172
5073,MyoD family inhibitor domain containing,0.437
5074,RuvB like AAA ATPase 2,0.255
5075,RuvB like AAA ATPase 2,0.381
5076,uncharacterized LOC101927253,0.863
5077,,0.116
5078,uncharacterized LOC102725108///uncharacterized LOC101928910///family with sequence similarity 66 member D///family with sequence similarity 66 member B///family with sequence similarity 66 member C,0.13
5079,uncharacterized LOC102725108///uncharacterized LOC101928910///family with sequence similarity 66 member D///family with sequence similarity 66 member B///family with sequence similarity 66 member C,0.000847
5080,DEAD-box helicase 42,0.213
5081,DEAD-box helicase 42,0.225
5082,synaptotagmin 7,0.376
5083,uncharacterized LOC642852,0.561
5084,synaptonemal complex central element protein 1 like,0.0122
5085,uncharacterized LOC401261,0.041
5086,ZFHX4 antisense RNA 1,0.266
5087,ZFHX4 antisense RNA 1,0.564
5088,uncharacterized LOC100506731,0.178
5089,BSD domain containing 1,0.115
5090,BTG anti-proliferation factor 1,1.68e-05
5091,uncharacterized LOC100506314,0.723
5092,solute carrier family 25 member 34,0.181
5093,SYF2 pre-mRNA splicing factor,3.68e-05
5094,zinc finger protein 7,0.275
5095,aldo-keto reductase family 1 member E2,0.146
5096,LIFR antisense RNA 1///microRNA 3650,0.167
5097,musashi RNA binding protein 2,0.942
5098,zinc finger protein 483,0.335
5099,tropomyosin 4,0.198
5100,calcium/calmodulin dependent protein kinase ID,0.13
5101,calcium/calmodulin dependent protein kinase ID,0.00612
5102,long intergenic non-protein coding RNA 645,0.19
5103,sideroflexin 3,4.96e-06
5104,sterile alpha motif domain containing 14,0.996
5105,sterile alpha motif domain containing 14,0.447
5106,sterile alpha motif domain containing 14,0.728
5107,uncharacterized LOC100131581,0.0882
5108,,0.722
5109,uncharacterized LOC646762,0.588
5110,uncharacterized LOC645984,0.00454
5111,SATB2 antisense RNA 1,0.242
5112,Jrk helix-turn-helix protein,0.0593
5113,,0.734
5114,pyridoxal dependent decarboxylase domain containing 1,0.00034
5115,pyridoxal dependent decarboxylase domain containing 1,0.00136
5116,transmembrane and tetratricopeptide repeat containing 3,0.262
5117,cAMP regulated phosphoprotein 21,0.981
5118,DLGAP1 antisense RNA 2,0.95
5119,DnaJ heat shock protein family (Hsp40) member C13,0.00306
5120,,0.681
5121,,0.15
5122,,0.311
5123,,0.408
5124,,0.716
5125,chromosome 11 open reading frame 57,0.0461
5126,chromosome 11 open reading frame 57,0.187
5127,CPEB1 antisense RNA 1,0.775
5128,FERM domain containing 4A,0.232
5129,methylcrotonoyl-CoA carboxylase 2,0.0547
5130,ficolin 1,0.00915
5131,receptor transporter protein 5 (putative),0.8
5132,uncharacterized LOC100506071,0.566
5133,regulator of microtubule dynamics 2,0.0535
5134,cytochrome b5 reductase 1,0.378
5135,"BMS1, ribosome biogenesis factor pseudogene 6",0.625
5136,,0.031
5137,,0.782
5138,,0.824
5139,uncharacterized LOC399900,0.281
5140,"VPS37C, ESCRT-I subunit",0.28
5141,"VPS37C, ESCRT-I subunit",0.00106
5142,solute carrier family 29 member 2,0.198
5143,,0.461
5144,poly(A) binding protein interacting protein 2,0.00753
5145,,0.539
5146,uncharacterized LOC729870,0.749
5147,pleckstrin homology domain containing M3,0.0125
5148,uncharacterized LOC101928191,0.183
5149,,1.5e-07
5150,protein kinase C alpha,0.459
5151,,0.413
5152,laminin subunit alpha 3,0.365
5153,diaphanous related formin 1,0.442
5154,RAD51 antisense RNA 1 (head to head),0.00896
5155,,0.0558
5156,,0.118
5157,,0.332
5158,SLC25A25 antisense RNA 1,0.447
5159,PHD finger protein 21B,0.872
5160,,0.0625
5161,,0.101
5162,forkhead associated phosphopeptide binding domain 1,0.882
5163,,0.353
5164,CCDC144NL antisense RNA 1,0.374
5165,distal-less homeobox 1,0.772
5166,synapse defective Rho GTPase homolog 2,0.354
5167,,0.118
5168,,0.278
5169,"protein tyrosine phosphatase, receptor type B",0.589
5170,uncharacterized LOC105372793,0.655
5171,uncharacterized LOC401433///negative regulator of ubiquitin like proteins 1,0.28
5172,uncharacterized LOC401433///negative regulator of ubiquitin like proteins 1,0.224
5173,,0.198
5174,WD repeat and FYVE domain containing 2,3.4e-07
5175,KIAA1217,0.127
5176,"neural precursor cell expressed, developmentally down-regulated 1",0.377
5177,abhydrolase domain containing 1,0.0163
5178,,0.241
5179,long intergenic non-protein coding RNA 937,0.115
5180,chromosome 5 open reading frame 56,0.000105
5181,,0.441
5182,chromosome 1 open reading frame 145,0.604
5183,uncharacterized LOC100506497,0.139
5184,uncharacterized LOC101927432,0.771
5185,,0.732
5186,uncharacterized LOC102723409,0.177
5187,ADP ribosylation factor like GTPase 5C,0.267
5188,,0.121
5189,RUN and cysteine rich domain containing beclin 1 interacting protein,0.617
5190,uncharacterized LOC100133039,0.48
5191,glutamate ionotropic receptor kainate type subunit 2,0.0922
5192,,0.273
5193,muskelin 1,0.124
5194,WDR86 antisense RNA 1,0.342
5195,"MIA family member 3, ER export factor",0.0762
5196,solute carrier family 29 member 2,0.176
5197,solute carrier family 29 member 2,0.94
5198,Fraser extracellular matrix complex subunit 1,0.346
5199,,0.0398
5200,uncharacterized LOC101928054,0.696
5201,,0.168
5202,uncharacterized LOC643549,0.12
5203,,0.125
5204,heart tissue-associated transcript 13,0.992
5205,long intergenic non-protein coding RNA 1330,0.118
5206,uncharacterized LOC101927069,0.00573
5207,,8.06e-06
5208,integrator complex subunit 10,0.00133
5209,sperm associated antigen 16,0.655
5210,protein phosphatase 4 regulatory subunit 1 like (pseudogene),0.67
5211,protein phosphatase 4 regulatory subunit 1 like (pseudogene),0.273
5212,coiled-coil domain containing 66,0.0601
5213,Purkinje cell protein 2,0.944
5214,,0.102
5215,LDLRAD4 antisense RNA 1,0.22
5216,uncharacterized LOC101927066,0.382
5217,transmembrane and coiled-coil domains 5A,0.058
5218,uncharacterized LOC105376360,0.0967
5219,,0.237
5220,,0.983
5221,zinc finger C2HC-type containing 1A,0.496
5222,long intergenic non-protein coding RNA 523,0.647
5223,,0.893
5224,zinc finger protein 713,0.562
5225,CSTF3 antisense RNA 1 (head to head),0.465
5226,5'-nucleotidase domain containing 4,0.101
5227,microRNA 3610///RAD21 antisense RNA 1,0.966
5228,uncharacterized LOC102724352///uncharacterized LOC101930593,0.63
5229,,0.413
5230,uncharacterized LOC101929248,0.732
5231,HLA complex P5B (non-protein coding),0.971
5232,spastic paraplegia 11 (autosomal recessive),0.941
5233,ankyrin repeat and SOCS box containing 3,0.515
5234,"chibby family member 1, beta catenin antagonist",0.796
5235,,0.885
5236,AT-hook containing transcription factor 1 pseudogene 1///AT-hook containing transcription factor 1,0.0284
5237,cannabinoid receptor 1,0.107
5238,HERV-H LTR-associating 2,0.14
5239,glycerophosphodiester phosphodiesterase domain containing 1,0.0981
5240,snail family transcriptional repressor 3,0.0429
5241,,0.113
5242,,0.162
5243,long intergenic non-protein coding RNA 1535,0.298
5244,long intergenic non-protein coding RNA 1293,0.56
5245,uncharacterized LOC101928682,0.297
5246,uncharacterized LOC101929524,0.17
5247,uncharacterized LOC284242,0.226
5248,uncharacterized LOC645485,0.224
5249,LIM homeobox 9,0.307
5250,CELF2 antisense RNA 1,0.01
5251,uncharacterized LOC101928988,0.821
5252,,0.487
5253,,0.11
5254,uncharacterized LOC285593,0.61
5255,,0.381
5256,,0.201
5257,,0.937
5258,glutamate ionotropic receptor kainate type subunit 2,0.655
5259,,0.951
5260,Wilms tumor 1 associated protein,0.0907
5261,transmembrane protein 44,0.272
5262,chromosome 12 open reading frame 80,0.584
5263,chromosome 12 open reading frame 80,0.122
5264,uncharacterized LOC221122,0.493
5265,uncharacterized LOC221122,0.774
5266,transmembrane protein 95,0.0056
5267,uncharacterized LOC101928590,0.243
5268,,0.0596
5269,uncharacterized LOC101928955,0.165
5270,uncharacterized LOC101928955,0.0198
5271,uncharacterized LOC101927196,0.129
5272,,0.0213
5273,ripply transcriptional repressor 1,0.759
5274,transmembrane and coiled-coil domains 4,0.348
5275,cytochrome P450 family 19 subfamily A member 1,0.405
5276,,0.103
5277,,0.0138
5278,uncharacterized LOC101929261,0.266
5279,DMRT like family C1B///DMRT like family C1,0.451
5280,FK506 binding protein 4,0.0904
5281,FK506 binding protein 4,0.0692
5282,slingshot protein phosphatase 2,0.322
5283,,0.309
5284,glucocorticoid induced 1,0.141
5285,glucocorticoid induced 1,0.733
